Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Leslie,Small,Christopher Plain 1305,Lake Cynthia,24189,Danmark,DK,19631016-5055,+45,742.612.7083x9386,1963-10-16,True
Karin,Henriksson,Ekgränd 237,Trollhättan,73035,Sverige,SE,19530605-7432,+46,+46 (0)266 812 08,1953-06-05,True
Maria,Östlund,Idrottsgränd 03,Södertälje,46361,Sverige,SE,19840214-4096,+46,+46 (0)8 865 863 91,1984-02-14,True
Martin,Lindholm,Kyrkgatan 44,Karlstad,77942,Sverige,SE,19820313-1318,+46,0181-085 74,1982-03-13,True
Kerstin,Jonsson,Furugatan 264,Skövde,31363,Sverige,SE,19800508-5316,+46,0911-151 69,1980-05-08,True
Ola,Olsson,Kyrktorget 613,Örebro,23180,Sverigeu,SE,19481222-0853,+46,+46 (0)8 174 053 39,1948-12-22,True
Erling,Bengtsson,Backstigen 4,Gävle,78182,Sverige,SE,19630606-0645,+46,+46 (0)37 22 84 79,1963-06-06,True
Roland,Andersson,Björkgatan 89,Luleå,69676,Sverige,SE,19800320-8589,+46,+46 (0)83 62 35 86,1980-03-20,True
Maria,Karlsson,Kyrkogränd 533,Piteå,32297,Sverige,SE,19931228-6164,+46,08-663 59 45,1993-12-28,True
Lars,Persson,Ekgatan 54,Helsingborg,42271,Sverige,SE,19600304-0623,+46,0038-509 17,1960-03-04,True
Stephanie,Garcia,Mark Villages 948,North Christopher,51483,Danmark,DK,19931029-5376,+45,(575)930-2474x714,1993-10-29,True
Øyvind,Sørensen,Arnesenløkka 30,Eide,9519,Norge,NO,19901101-7920,+47,93477280,1990-11-01,True
Mari,Fredriksen,Hanssengropa 16,Eriksen,2310,Norge,NO,19610516-3016,+47,+4785695837,1961-05-16,True
Jorge,Stewart,Robert Port 225,Lake Kenneth,55833,Danmark,DK,19800604-9203,+46,924-984-3721x58449,1980-06-04,True
Maren,Rønning,Abrahamsenskrenten 5,Eide,5139,Norge,NO,19631009-2781,+47,+47 42 01 14 91,1963-10-09,True
Maria,Ericsson,Kyrkogatan 450,Linköping,69548,Sverige,SE,19831108-2928,+46,053-657 23 61,1983-11-08,True
Thomas,Skinner,Matthew Route 643,Batesmouth,87684,Danmark,DK,19410912-8433,+45,713-912-4341x6249,1941-09-12,True
Terje,Næss,Nguyengropa 413,Holm,3072,Norge,NO,19911015-1766,+47,04 83 38 36,1991-10-15,True
Karl,Larsson,Aspvägen 646,Skövde,38658,Sverige,SE,19460917-3382,+46,050-37 62 27,1946-09-17,True
Ingrid,Blom,Stationsgatan 989,Umeå,98631,Sverige,SE,19610419-8805,+46,013-31 07 54,1961-04-19,True
Elina,Holm,Dunckerinbulevardi 06,Kalajoki,46138,Finland,FI,19971220-857U,+358,+358 174914561,1997-12-20,True
Anna,Nilsson,Ekgatan 4,Östersund,77396,Sverige,SE,19641028-1837,+46,+46 (0)727 565 07,1964-10-28,True
Gun,Persson,Bäckvägen 2,Linköping,38189,Sverige,SE,19981031-0081,+46,0069-86 90 46,1998-10-31,True
Maria,Karjalainen,Wecksellinbulevardi 19,Pedersören kunta,44508,Finland,FI,19830810-4702,+358,0243526362,1983-08-10,True
Daniel,Rosén,Aspvägen 2,Piteå,62150,Sverige,SE,19970630-7871,+46,+46 (0)859 462 42,1997-06-30,True
Astrid,Hansson,Stationsstigen 9,Umeå,11939,Sverige,SE,19951116-9261,+46,+46 (0)8 255 174 99,1995-11-16,True
Astrid,Bakke,Jacobsengropa 055,Johansen,5511,Norge,NO,19840113-6216,+47,09043561,1984-01-13,True
Annika,Kiuru,Tyynelänpolku 198,Nurmes,53293,Finland,FI,19441221-784N,+358,+358665686862,1944-12-21,True
Malin,Moe,Auneroa 6,Tobiasås,1358,Norge,NO,19600529-7906,+47,75047036,1960-05-29,True
Kjell,Næss,Jacobsenhøgda 6A,Gundersen,3711,Norge,NO,19900402-2647,+47,42866954,1990-04-02,True
Ahti,Alanko,Disanbulevardi 8,Nurmes,13523,Danmark,FI,19680322-239N,+358,0765426763,1968-03-22,True
Ilmari,Järvinen,Salavatie 2,Lohja,72347,Finland,FI,19851208-873L,+358,(+358) 669014731,1985-12-08,True
Julia,Jonsson,Kyrkvägen 46,Trelleborg,99005,Sverige,SE,19530110-0124,+46,08-296 92 98,1953-01-10,True
Sofia,Pitkänen,Sapilasbulevardi 176,Padasjoki,32790,Finland,FI,19941210-830E,+358,(+358) 179584475,1994-12-10,True
Sigrid,Nilsson,Kyrkostigen 7,Falun,11468,Sverige,SE,19510908-2395,+46,+46 (0)552 829 17,1951-09-08,True
Lars,Karlsson,Industrigatan 86,Kalmar,14631,Sverige,SE,20000530-5222,+46,099-408 61 16,2000-05-30,True
Sirpa,Haverinen,Usvapolku 993,Kangasala,60691,Finland,FI,19661023-668E,+358,(+358) 465922672,1966-10-23,True
Margareta,Andersson,Idrottsvägen 9,Södertälje,42970,Sverige,SE,19720711-2440,+46,08-675 76 58,1972-07-11,True
Magnus,Jakobsen,Hansenkroken 9,Berge,4228,Norge,NO,19880128-6474,+47,23 06 72 04,1988-01-28,True
Harald,Ødegård,Tangenmyra 67,Thomaseid,1236,Norge,NO,19790403-7089,+47,61 28 75 92,1979-04-03,True
Linda,Kristoffersen,Aasplassen 99C,Ali,7087,Norge,NO,19730505-6009,+47,92185864,1973-05-05,True
Morten,Andersen,Jacobsenhaugen 542,Lunde,8197,Norge,NO,19870406-8050,+47,954 00 651,1987-04-06,True
Sofie,Olsson,Järnvägsvägen 462,Lund,87511,Sverige,SE,19890821-2191,+46,053-40 60 19,1989-08-21,True
Inge,Lindblom,Industritorget 2,Västerås,70793,Sverige,SE,19710820-3973,+46,+46 (0)8 811 395 22,1971-08-20,True
Adrian,Lie,Aasvollen 3,Ødegård,6111,Norge,NO,19730427-9294,+47,83982965,1973-04-27,True
Alf,Thorsen,Karlsenhaugen 6,Strøm,2481,Norge,NO,19710908-8330,+47,77762486,1971-09-08,True
Stefan,Berg,Grangränd 408,Karlstad,64854,Sverige,SE,19760811-7609,+46,043-529 41 16,1976-08-11,True
Doris,Fransson,Stationsvägen 6,Gävle,46337,Sverige,SE,19880504-5357,+46,08-355 702 78,1988-05-04,True
Fredrik,Lundberg,Björktorget 83,Karlstad,94050,Sverige,SE,19911006-9539,+46,0708-38 85 96,1991-10-06,True
Irene,Johansson,Aspstigen 351,Ängelholm,51472,Sverige,SE,19790725-6925,+46,08-626 53 28,1979-07-25,True
Erik,Jonsson,Skolvägen 3,Alingsås,64785,Sverige,SE,19700829-7441,+46,0222-14 82 38,1970-08-29,True
Inger,Andersson,Skolgatan 5,Mölndal,62165,Sverige,SE,19400401-9859,+46,08-480 91 45,1940-04-01,True
Viola,Nilsson,Ektorget 344,Trelleborg,26972,Sverige,SE,19760805-1770,+46,08-83 69 68,1976-08-05,True
Robin,Malm,Ringstigen 60,Örebro,81257,Sverige,SE,19821119-2655,+46,+46 (0)8 249 645 61,1982-11-19,True
Sydney,Rodriguez,Leon Walk 2499,Kimberlyport,93082,Danmark,DK,19530730-7105,+45,+1-497-787-8858x66626,1953-07-30,True
Mikael,Lundgren,Villatorget 952,Kristianstad,36905,Sverige,SE,19540409-8601,+46,079-11 64 22,1954-04-09,True
Katja,Kärki,Nordenskiöldintie 1,Pyhäjoki,11131,Finland,FI,19580211-872C,+358,(+358) 346357308,1958-02-11,True
Marie,Andreasson,Storstigen 2,Varberg,13676,Sverige,SE,19600216-7002,+46,0466-25 18 10,1960-02-16,True
Daniel,George,Jennifer Circle 024,Nicholasview,22737,Danmark,DK,19970709-8204,+45,001-500-647-9055x063,1997-07-09,True
Kåre,Dahl,Auneplassen 5,Thorsund,1259,Norge,NO,19870222-3218,+47,+4701385260,1987-02-22,True
Synnøve,Knudsen,Halvorsenløkka 498,Solveigstrøm,5784,Norge,NO,19470502-9826,+47,474 11 220,1947-05-02,True
Gunvor,Nilsson,Idrottsvägen 35,Borlänge,93081,Sverige,SE,19480310-6916,+46,08-156 973 38,1948-03-10,True
Mette,Gulbrandsen,Haugstien 94,Thomasvær,4379,Norge,NO,19970714-7312,+47,431 18 596,1997-07-14,True
Mari,Tveit,Haugegjerdet 4F,Adrianstrand,1642,Norge,NO,19900916-2125,+47,97575422,1990-09-16,True
Laila,Sandvik,Jensengrenda 4,Monicahavn,1438,Norge,NO,19820306-5597,+47,93773878,1982-03-06,True
Bjørn,Vik,Ødegårdmoen 7,Gretemark,4152,Norge,NO,19751125-8750,+47,56 38 54 29,1975-11-25,True
Birgitta,Lindberg,Kyrktorget 65,Ängelholm,10478,fverige,SE,19740205-0824,+46,0640-30 16 91,1974-02-05,True
Yngve,Andersson,Björkvägen 4,Trollhättan,88483,Sverige,SE,19670610-3356,+46,08-800 03 40,1967-06-10,True
Karl,Eriksson,Furuvägen 38,Växjö,65139,Sverige,SE,19790605-2571,+46,0693-27 40 13,1979-06-05,True
Elisabet,Persson,Kyrkstigen 18,Halmstad,52955,Sverige,SE,19720528-9860,+46,0036-34 61 82,1972-05-28,True
Helena,Isaksson,Fabriksvägen 5,Nyköping,51719,Sverige,SE,19530301-6941,+46,08-978 187 45,1953-03-01,True
Anders,Kristoffersen,Brekkeberget 6,Sondredal,9806,Norge,NO,19990822-9512,+47,465 88 427,1999-08-22,False
Haley,Johnston,Courtney Trail 4694,Kaitlynhaven,13416,Danmark,DK,19651116-1030,+45,351.239.9572,1965-11-16,True
Svein,Arnesen,Tveitengen 8,Brekke,5545,Norge,NO,19791202-4215,+47,21897402,1979-12-02,True
Kevin,Gray,Ruiz Heights 596,North Austin,13758,Danmark,DK,19610711-4345,+45,548.363.8237,1961-07-11,True
Olof,Nilsson,Åkerstigen 13,Skövde,74780,Sverige,SE,19991011-0649,+46,08-90 04 13,1999-10-11,True
William,Braun,Gonzalez Row 2248,New Donald,14866,Danmark,DK,19560220-7990,+45,466.664.3619x8735,1956-02-20,True
Thomas,Bengtsson,Granstigen 9,Sundsvall,47778,Sverige,SE,19690612-4149,+46,0799-59 53 46,1969-06-12,True
Hannah,Dominguez,Mark Club 6031,Scottfort,04645,Danmark,DK,19520130-2404,+45,001-861-753-2534,1952-01-30,True
Eva,Eriksson,Storvägen 58,Örnsköldsvik,61919,Sverige,SE,19640118-2621,+46,08-922 679 13,1964-01-18,True
Vilde,Hagen,Solbergmyra 3,Ritasand,7004,Norge,NO,19500408-0814,+47,34 25 03 83,1950-04-08,True
Erik,Larsson,Fabrikstorget 733,Lund,84781,Sverige,SE,19700514-5694,+46,08-505 54 00,1970-05-14,True
Sven,Larsson,Villagatan 450,Trollhättan,40392,Sverige,SE,19650302-4205,+46,08-920 821 91,1965-03-02,True
Annette,Eriksson,Fabriksvägen 8,Norrköping,48581,Sverige,SE,19400522-0334,+46,08-304 08 12,1940-05-22,True
Airi,Laiho,Puusepänbulevardi 326,Vieremä,41166,Finland,FI,19521007-506T,+358,+358 242998893,1952-10-07,True
Wenche,Næss,Arnesenåsen 1,Sandvik,6020,Norge,NO,19891225-5016,+47,76984107,1989-12-25,True
Jennifer,Becker,Harris Canyon 168,West Davidmouth,98437,Danmark,DK,19550716-7230,+45,462-218-9020,1955-07-16,True
Michelle,Stark,Anna Loaf 76431,East Karamouth,63174,Danmark,DK,19651226-0896,+45,9537702971,1965-12-26,True
Michael,Garza,Elizabeth Lights 9814,Heidistad,89455,Danmark,DK,19521213-2091,+45,9198187703,1952-12-13,True
Morten,Johnsen,Iversenringen 84,Aune,2624,Norge,NO,19621107-1282,+47,406 08 419,1962-11-07,True
James,Miller,Reese Forge 8072,Michaeltown,20818,Danmark,DK,19850216-2114,+45,820-743-0047x6267,1985-02-16,True
Zachary,Roberson,Michelle Street 8181,Port Michaelchester,34453,Danmark,DK,19510518-4720,+45,412-262-0642x338,1951-05-18,True
Maria,Karlsson,Industrigatan 0,Malmö,25160,Sverige,SE,19721204-0734,+46,0358-386 41,1972-12-04,True
Timothy,Yang,Morris Port 1683,South Amyfort,24798,Danmark,DK,19430112-6183,+45,539.847.6930x2173,1943-01-12,True
Pontus,Johansson,Ektorget 2,Helsingborg,62499,Sverige,SE,19931121-3257,+46,0541-75 34 49,1993-11-21,True
Nina,Olsson,Granvägen 499,Alingsås,56407,Sverige,SE,19720507-8603,+46,0800-66 94 29,1972-05-07,True
Olav,Kristensen,Bakkebråten 1,Johnodden,7831,Norge,NO,19900126-1172,+47,+4748608471,1990-01-26,True
Ellen,Larsson,Storgatan 44,Falun,60847,Sverige,SE,19880826-1237,+46,08-746 17 52,1988-08-26,True
Malin,Knudsen,Knudsenbråten 97E,Kirstenø,9886,Norge,NO,19590301-1943,+47,969 41 629,1959-03-01,True
Anna,Pålsson,Furuvägen 832,Eskilstuna,29386,Sverige,SE,19410628-7123,+46,08-378 30 78,1941-06-28,True
Aina,Karlsson,Kyrkovägen 558,Jönköping,84180,Sverige,SE,19400822-9749,+46,08-152 083 36,1940-08-22,True
Eva,Johansson,Bäckgatan 3,Lidköping,97161,Sverige,SE,19460825-2813,+46,08-306 54 96,1946-08-25,True
Matthew,Thompson,Kathryn Park 93318,East Jenniferbury,53706,Danmark,DK,19920326-9113,+45,(372)510-2748,1992-03-26,True
James,White,Sampson Islands 337,Lindseyton,45408,Danmark,DK,19410821-7708,+45,792.756.9172x8710,1941-08-21,True
Kari,Haug,Thomassenstubben 4,Idastad,7442,Norge,NO,19820820-0791,+47,94 92 37 05,1982-08-20,True
Julie,Andreassen,Moehøgda 5,Isaksen,3511,Norge,NO,19850616-1944,+47,54436326,1985-06-16,True
Jan,Johannessen,Eidemoen 6,Dagby,0774,Norge,NO,19640209-9079,+47,470 16 454,1964-02-09,True
Jimmy,Jansson,Parkgatan 563,Piteå,96693,Sverige,SE,19800306-3056,+46,046-20 39 64,1980-03-06,True
Emma,Olofsson,Kyrkgatan 24,Landskrona,94757,Sverige,SE,19420126-5611,+46,+46 (0)86 41 67 72,1942-01-26,True
Gunnar,Johansson,Trädgårdsstigen 641,Göteborg,79005,Sverige,SE,19540426-1425,+46,08-150 20 37,1954-04-26,True
Kristin,Johnsen,Olsenplassen 72,Nielsen,7806,Norge,NO,19710221-1646,+47,92 60 75 76,1971-02-21,True
Agnes,Johansson,Stationsgränd 16,Falun,12567,Sverige,SE,19660601-6011,+46,+46 (0)426 293 19,1966-06-01,True
Nathan,Cochran,Fernandez Villages 1804,South Anthony,10200,Danmark,DK,19800325-5539,+45,973-986-2110x0655,1980-03-25,True
Hilde,Brekke,Birkelandroa 3A,Kristoffersen,4571,Norge,NO,19580818-6896,+47,43292320,1958-08-18,True
Michael,Hernandez,Hampton Expressway 0123,South Meghanfort,51838,Danmark,DK,19630123-9442,+45,697.874.1972,1963-01-23,True
Steven,Garcia,Jeffrey Crescent 4096,Adamsview,99389,Danmark,DK,19670129-4609,+45,(604)473-7335x3691,1967-01-29,True
Ingvar,Andersson,Björktorget 961,Motala,95186,Sverige,SE,19990419-3695,+46,053-84 76 05,1999-04-19,True
Kristian,Aasen,Hauglandhavna 754,Pålodden,1521,Norge,NO,19960404-8217,+47,+4764139300,1996-04-04,True
Karin,Stenberg,Parkgränd 82,Borås,68216,Sverige,SE,19441116-5179,+46,08-776 719 99,1944-11-16,True
Birgitta,Bengtsson,Trädgårdsgatan 398,Örnsköldsvik,40456,Sverige,SE,19701210-4067,+46,+46 (0)8 376 908 68,1970-12-10,True
Håkan,Wahlström,Bäckgatan 32,Motala,63954,Sverige,SE,19880120-7678,+46,0257-577 56,1988-01-20,True
Stig,Adolfsson,Skogsgatan 60,Mölndal,87465,Sverige,SE,19440626-1668,+46,08-143 607 66,1944-06-26,True
Mira,Laakso,Gneissitie 757,Kolari,07822,Finland,FI,19790505-1736,+358,(+358) 565720597,1979-05-05,True
Eero,Silvennoinen,Neulapadonbulevardi 2,Lemi,88274,Finland,FI,19450610-586V,+358,0761516761,1945-06-10,True
Evelina,Molin,Bäckvägen 47,Halmstad,59513,Sverige,SE,19820912-5794,+46,000-68 90 69,1982-09-12,True
Emilie,Iversen,Nilsenbråten 8,Ellingsen,1247,Norge,NO,19710531-6965,+47,42901392,1971-05-31,True
Maria,Gustafsson,Aspstigen 5,Falun,77804,Sverige,SE,19570812-5865,+46,049-22 74 67,1957-08-12,True
Göran,Eriksson,Fabriksgränd 49,Sundsvall,66173,Sverige,SE,19860326-7288,+46,+46 (0)120 331 24,1986-03-26,True
Filip,Gustafsson,Bäckgatan 12,Nyköping,53269,Sverige,SE,19700619-1282,+46,+46 (0)869 016 03,1970-06-19,True
Anita,Moe,Gundersenbakken 6,Olsen,2510,Norge,NO,19560606-2992,+47,93506238,1956-06-06,True
Svein,Næss,Strandstykket 92,Bakken,5410,Finland,NO,19840105-1954,+47,44929616,1984-01-05,True
Tobias,Ottosson,Gengränd 02,Lidingö,19577,Sverige,SE,19760222-8776,+46,0357-998 24,1976-02-22,False
Piia,Hiltunen,Agroksenbulevardi 105,Heinävesi,72878,Finland,FI,19970224-4517,+358,+358176010701,1997-02-24,True
Jenny,Fredriksen,Karlsenmoen 46,Vidarberg,1732,Norge,NO,19650626-3326,+47,10 14 25 82,1965-06-26,True
Marie,Nyström,Nyvägen 670,Örnsköldsvik,61590,Sverige,SE,19530314-5646,+46,074-22 98 53,1953-03-14,True
Mette,Bakke,Moenberget 00,Hansen,7064,Norge,NO,19440203-6000,+47,+4783300951,1944-02-03,True
Tor,Olsen,Thomassenrøa 2,Evahamn,2113,Norge,NO,19411121-3986,+47,+47 41 99 04 24,1941-11-21,True
Magnus,Jakobsson,Storvägen 9,Falun,57944,Sverige,SE,19460216-6913,+46,08-31 22 18,1946-02-16,True
Unni,Jakobsen,Andresenringen 43,Haraldeid,3684,Norge,NO,19981221-7197,+47,55 14 28 79,1998-12-21,True
Jan,Eriksson,Industrivägen 6,Falun,79791,Sverige,SE,19841127-1121,+46,035-124 58 96,1984-11-27,True
Marie,Andersson,Granvägen 65,Gävle,53998,Sverige,SE,19510718-6030,+46,+46 (0)17 13 44 98,1951-07-18,True
Viola,Karlsson,Idrottsgränd 68,Umeå,25092,Sverige,SE,19741027-1885,+46,+46 (0)78 05 11 87,1974-10-27,True
Lene,Johnsen,Aasenvika 7,Martinsen,1360,Norge,NO,19780322-7384,+45,20 04 44 88,1978-03-22,True
Barbara,White,Roman Circles 665,Lake Kylebury,81772,Danmark,DK,19770512-4052,+45,595.601.2985x5232,1977-05-12,True
Marianne,Lundström,Ängsvägen 715,Eskilstuna,41212,Sverige,SE,19490324-7970,+46,+46 (0)8 540 446 21,1949-03-24,True
Lars,Olsson,Industrivägen 03,Lidköping,84584,Sverige,SE,19510608-1850,+46,08-911 30 66,1951-06-08,True
Mikael,Johnsson,Skolvägen 6,Mölndal,72881,Sverige,SE,19710224-6842,+46,0929-64 93 59,1971-02-24,True
Monica,Edwards,Haney Crescent 4135,North Hollyton,65814,Danmark,DK,19890213-2241,+45,914.895.8366,1989-02-13,True
Joakim,Karlsson,Kyrkogatan 29,Falun,33310,Sverige,SE,19741229-9825,+46,0653-93 72 44,1974-12-29,True
Lars,Johansson,Furugränd 70,Piteå,38899,Sverige,SE,19921203-9548,46,+46 (0)595 392 45,1992-12-03,True
Stig,Lindström,Parkvägen 7,Skövde,60768,Sverige,SE,19420822-0061,+46,08-750 948 37,1942-08-22,True
Gert,Karlsson,Fabrikstorget 22,Luleå,27028,Sverige,SE,19630717-9876,+46,0394-971 93,1963-07-17,True
Marte,Hauge,Hauglandtoppen 44E,Sofieberg,5170,Norge,NO,19720519-6652,+47,81 14 03 75,1972-05-19,True
Gary,Scott,Deanna Crest 0618,Millerton,08350,Danmark,DK,19860712-1043,+45,001-826-285-4278x229,1986-07-12,True
Daniel,Gunnarsson,Björkstigen 699,Örebro,24618,Sverige,SE,19740808-5437,+46,08-609 174 72,1974-08-08,True
Christina,Petersson,Kyrkgatan 230,Växjö,22173,Sverige,SE,19890615-5189,+46,+46 (0)81 49 15 38,1989-06-15,True
Arvid,Josefsson,Industristigen 546,Halmstad,35816,Sverige,SE,19500302-7029,+46,+46 (0)23 34 72 44,1950-03-02,True
Lars,Svensson,Furugränd 7,Kalmar,87793,Sverige,SE,19690729-3241,+46,+46 (0)961 930 94,1969-07-29,True
Marjut,Toivonen,Betonitie 3,Tampere,58071,Finland,FI,19621025-3475,+358,+358 81 9683016,1962-10-25,True
Tobias,Myklebust,Solbergstykket 51E,Joakimsand,8878,Norge,NO,19581214-4172,+47,998 70 045,1958-12-14,True
Melissa,Fletcher,Kevin Motorway 314,Bryantbury,07544,Danmark,DK,19600709-6838,+45,(226)738-8843,1960-07-09,True
Charles,James,Shirley Glen 1582,Lake Jessicafort,99514,Danmark,DK,19480603-5144,+45,674-243-8164x7978,1948-06-03,True
Michael,Sjödin,Skolgränd 57,Östersund,83399,Sverige,SE,19490206-6575,+46,041-87 74 25,1949-02-06,True
Anna,Mattsson,Trädgårdstorget 312,Piteå,96328,Sverige,SE,19800818-5958,+46,+46 (0)103 862 56,1980-08-18,True
